Dataset,Topics,PPL,C_V (10),C_V (20),c_v ranges for the top 10 words all topics,c_v ranges for the top 20 words all topics,"0,0001","0,0005","0,001","0,002","0,005","0,01","0,02","0,05","0,1","0,2","0,3","0,5","0,8",1,average_ir,average_acc,average_F1
iDeepDNe,,,,,,,,,,,,,,,,,,,,,,,
20NG,5,1231,"0,4736","0,4874","[0.39,0.61]","[0.41,0.54]","0,2150066401","0,2128818061","0,2115832964","0,2113914712","0,2098775269","0,2075992327","0,2049210158","0,1937051205","0,1733484478","0,1405060429","0,1132773255","0,08157919457","0,0577965012","0,05052490381","0,1631427518","0,3229543365","0,253932651"
20NG,20,1093,"0,4828","0,5881","[0.42,0.64]","[0.43,0.73]","0,4516600266","0,4294820717","0,4213663863","0,4093256603","0,3900870592","0,3672701785","0,3378691496","0,2776827792","0,2166208096","0,1555075442","0,1233473867","0,08767605675","0,06047687302","0,05052490381","0,2699212061","0,5101849014","0,4791258699"
20NG,50,1056,"0,3919","0,4678","[0.20,0.53]","[0.27,0.66]","0,5314741036","0,5077290837","0,4956027741","0,4784122768","0,4517662683","0,4261236535","0,3906436868","0,3172178542","0,2445004512","0,1705028054","0,1319565266","0,09092222328","0,0616396714","0,05052490381","0,3106440202","0,5930738584","0,5712065659"
20NG,100,870,"0,3454","0,3687","[0.14,0.68]","[0.19,0.66]","0,5831341301","0,5478884462","0,5346465988","0,5149107275","0,4836653386","0,452366829","0,4101876105","0,3281070409","0,248934428","0,1718656973","0,1328451852","0,09149972465","0,06178359235","0,05052490381","0,3294543038","0,6363775667","0,6150298053"
20NG,200,921,"0,2987","0,3356","[0.15,0.60]"," [0.13,0.54]","0,5693227092","0,5343426295","0,5204220156","0,5024273277","0,4709517486","0,4408897742","0,3998231751","0,3211804699","0,2449007653","0,1700565345","0,1317306554","0,09098328173","0,06162497473","0,05052490381","0,3220843547","0,6127796506","0,5945088157"
LDA,,,,,,,,,,,,,,,,,,,,,,,
20NG,5,185,"0,4024","0,3875","[0.22,0.41]","[0.22,0.41]",,,,,,,,,,,,,,,#DIV/0!,"0,04982564103","0,02424824083"
20NG,20,228,"0,4554","0,3192","[0.16,0.44]","[0.16,0.44]",,,,,,,,,,,,,,,#DIV/0!,"0,05747692308","0,03384653867"
20NG,50,285,"0,41","0,4026","[0.15,0.45]","[0.15,0.45]",,,,,,,,,,,,,,,#DIV/0!,"0,05344615385","0,02317454503"
20NG,100,335,"0,358","0,2961","[0.14,0.47]","[0.14,0.47]",,,,,,,,,,,,,,,#DIV/0!,"0,05275897436","0,0159215017"
20NG,200,445,"0,482","0,4606","[0.14,0.58]","[0.14,0.58]",,,,,,,,,,,,,,,#DIV/0!,"0,05273846154","0,009957553118"
iDeepDNe,,,,,,,,,,,,,,,,,,,,,,,
20NG_short,14,614,"0,3773","0,4187","[0.21,0.52]","[0.24,0.58]","0,3880914407","0,3870813397","0,3833805895","0,377274204","0,3672957647","0,3536165751","0,3265506181","0,2727263906","0,2151365355","0,1544156911","0,1219732817","0,08721987202","0,06078295906","0,05052281566","0,253290577","0,4674043062","0,4303085025"
20NG_short,20,597,"0,3512","0,4061","[0.24,0.54]","[0.23,0.55]","0,4198564593","0,4082934609","0,400762006","0,3931271782","0,378073129","0,3626971469","0,3363542373","0,2767550917","0,218952391","0,1576130512","0,124933595","0,08861518592","0,06118056272","0,05052281566","0,2626954508","0,5009916984","0,4661167156"
20NG_short,50,570,"0,3023","0,3551","[0.18,0.51]","[0.13,0.54]","0,4793992557","0,4538011696","0,4444149093","0,4317295765","0,4091736074","0,3862868451","0,3539774012","0,2886553589","0,2264676424","0,1616171902","0,1275239793","0,09005346059","0,06161537916","0,05052281566","0,2832313279","0,5446059788","0,5215168372"
20NG_short,100,455,"0,3109","0,3432","[0.12,0.62]","[0.17,0.59]","0,5410685805","0,508559277","0,4918335401","0,4743118318","0,443074015","0,4139095635","0,374532619","0,2986799175","0,2277319576","0,1596774236","0,12534941","0,0887976957","0,06151645121","0,05052281566","0,3042546499","0,5910931174","0,5696839383"
20NG_short,200,497,"0,2772","0,2805","[0.17,0.67]","[0.18,0.51]","0,5333599149","0,4965178097","0,4831649832","0,4636201193","0,4312511076","0,4000044303","0,3591630172","0,2856093539","0,2198993424","0,1561583364","0,1232457022","0,08752582788","0,06090468121","0,05052281566","0,2964962458","0,5824438719","0,5641370833"
LDA,,,,,,,,,,,,,,,,,,,,,,,
20NG_short,14,132,"0,3249","0,2432","[0.16,0.45]","[0.16,0.45]",,,,,,,,,,,,,,,,"0,05816410256","0,03698784864"
20NG_short,20,139,"0,3496","0,3648","[0.14,0.48]","[0.14,0.48]",,,,,,,,,,,,,,,#DIV/0!,"0,05487179487","0,03364174371"
20NG_short,50,167,"0,3053","0,2531","[0.12,0.48]","[0.12,0.48]",,,,,,,,,,,,,,,#DIV/0!,"0,05597948718","0,02438106707"
20NG_short,100,199,"0,3922","0,3766","[0.14,0.49]","[0.14,0.49]",,,,,,,,,,,,,,,,"0,05497435897","0,01688821101"
20NG_short,200,244,"0,4622","0,4471","[0.13,0.66]","[0.13,0.66]",,,,,,,,,,,,,,,,"0,05378461538","0,01040546649"
iDeepDNe,,,,,,,,,,,,,,,,,,,,,,,
20subs ,39,1372,"0,5001","0,6689","[0.39,0.63]","[0.60,0.72]","0,2251492344","0,1837010122","0,170949044","0,1637829109","0,1519739308","0,1419402036","0,1309205329","0,1140991892","0,09814301971","0,08276004426","0,07431343637","0,06462251478","0,05548551385","0,05002811448","0,1219906215","0,2416897922","0,2221495422"
20subs ,20,1323,"0,6152","0,588","[0.51,0.76]","[0.55,0.61]","0,2085388009","0,1657150273","0,1532860397","0,1451610578","0,1338293393","0,1260256743","0,1165974565","0,1029698565","0,08950396865","0,076400721","0,06932702646","0,0610982166","0,05393957075","0,05002811448","0,110887205","0,215955599","0,1881883105"
20subs ,50,1338,"0,4207","0,5534","[0.27,0.54]","[0.31,0.65]","0,244355048","0,214041007","0,2068229662","0,1950788707","0,1800818987","0,1681749343","0,154759528","0,1310170753","0,109877133","0,08980115395","0,07926476586","0,06669502571","0,05564617854","0,05002811448","0,13897455","0,2950448202","0,2757712097"
20subs ,100,1333,"0,4801","0,5858","[0.37,0.65]","[0.47,0.75]","0,2987282637","0,2473397353","0,2373475214","0,2199368457","0,1996510655","0,1823368689","0,1635538741","0,1362380677","0,1132461362","0,09134825724","0,07984050295","0,06671904011","0,05556802119","0,05002811448","0,1529915939","0,3305316537","0,3162428072"
20subs ,200,1330,"0,4797","0,5972","[0.31,0.61]","[0.47,0.71]","0,3193615365","0,2651440436","0,2516365314","0,2388326557","0,2131758803","0,1949729482","0,1731910057","0,1408042256","0,1153108895","0,09159831215","0,07932223499","0,06564729068","0,05466528955","0,05002811448","0,1609779256","0,3345644752","0,3252767497"
LDA,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,
20subs ,39,732,"0,4359","0,4376","[0.42,0.44]","[0.42,0.44]",,,,,,,,,,,,,,,#DIV/0!,"0,06127179487","0,03621019943"
20subs ,20,555,"0,4186","0,4282","[0.40,0.43]","[0.40,0.44]",,,,,,,,,,,,,,,#DIV/0!,"0,05968205128","0,0362278301"
20subs ,50,822,"0,4312","0,4362","[0.34,0.52]","[0.34,0.55]",,,,,,,,,,,,,,,#DIV/0!,"0,05603076923","0,03378738073"
20subs ,100,1114,"0,4882","0,5011","[0.37,0.56]","[0.37,0.57]",,,,,,,,,,,,,,,#DIV/0!,"0,05784615385","0,02574103689"
20subs ,200,1467,"0,4172","0,5359","[0.34,0.54]","[0.34,0.65]",,,,,,,,,,,,,,,#DIV/0!,"0,05806153846","0,01852758101"
iDeepDNe,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,
20subs_long,43,2415,"0,6374","0,7396","[0.53,0.70]","[0.66,0.80]","0,1793520185","0,1488300334","0,1442101654","0,1353961315","0,1283832884","0,1226578309","0,1144805024","0,1030900518","0,09100512564","0,0781493186","0,07083178299","0,06201914806","0,05445172457","0,05001718156","0,1059195931","0,2192871412","0,197785215"
20subs_long,20,2757,"0,5421","0,6658","[0.54,0.54]","[0.65,0.69]","0,1832090512","0,1591411674","0,1489243164","0,1421887946","0,1314828893","0,1239267387","0,1155810145","0,102834877","0,09054009929","0,07760299313","0,07003205983","0,06105574365","0,0535070341","0,05001718156","0,1078602829","0,2172201673","0,1966305074"
20subs_long,50,2432,"0,501","0,584","[0.26,0.64]","[0.49,0.73]","0,259964001","0,2051427102","0,1943230193","0,1825233565","0,1666601451","0,1531116192","0,1395127841","0,1208676951","0,1035730084","0,0865408667","0,07715810027","0,06559802313","0,05493196861","0,05001718156","0,1328517485","0,2856874419","0,2714587539"
20subs_long,100,2339,"0,4866","0,5949","[0.33,0.65]","[0.41,0.72]","0,2679352019","0,2193108768","0,2105654124","0,1986157538","0,178868492","0,164062238","0,148725642","0,1254233072","0,1061706647","0,08773073083","0,07770241398","0,06567712883","0,05498842365","0,05001718156","0,1396995334","0,3118361453","0,2990716466"
20subs_long,200,2300,"0,5281","0,6474","[0.33,0.66]","[0.56,0.74]","0,30984829","0,2649524299","0,2502785635","0,2324005028","0,2135202969","0,1947354299","0,1740164567","0,1422138639","0,1166934948","0,09266641686","0,0800446703","0,06597398514","0,05451293814","0,05001718156","0,1601338943","0,3476076508","0,3394768898"
LDA,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,
20subs_long,43,1335,"0,4728","0,5189","[0.38,0.42]","[0.38,0.49]",,,,,,,,,,,,,,,,"0,0533025641","0,03858881993"
20subs_long,20,995,"0,3847","0,4968","[0.42,0.47]","[0.41,0.47]",,,,,,,,,,,,,,,,"0,05836923077","0,03493075298"
20subs_long,50,1420,"0,432","0,4979","[0.33,0.52]","[0.33,0.52]",,,,,,,,,,,,,,,,"0,0530974359","0,0369863494"
20subs_long,100,1947,"0,4111","0,4732","[0.34,0.54]","[0.34,0.53]",,,,,,,,,,,,,,,,"0,05606153846","0,04139531427"
20subs_long,200,2923,"0,3847","0,4712","[0.34,0.65]","[0.34,0.65]",,,,,,,,,,,,,,,,"0,05424615385","0,03410906935"